"CO_UNIDADE";"CO_CNES";"NU_CNPJ_MANTENEDORA";"TP_PFPJ";"NIVEL_DEP";"NO_RAZAO_SOCIAL";"NO_FANTASIA";"NO_LOGRADOURO";"NU_ENDERECO";"NO_COMPLEMENTO";"NO_BAIRRO";"CO_CEP";"CO_REGIAO_SAUDE";"CO_MICRO_REGIAO";"CO_DISTRITO_SANITARIO";"CO_DISTRITO_ADMINISTRATIVO";"NU_TELEFONE";"NU_FAX";"NO_EMAIL";"NU_CPF";"NU_CNPJ";"CO_ATIVIDADE";"CO_CLIENTELA";"NU_ALVARA";"DT_EXPEDICAO";"TP_ORGAO_EXPEDIDOR";"DT_VAL_LIC_SANI";"TP_LIC_SANI";"TP_UNIDADE";"CO_TURNO_ATENDIMENTO";"CO_ESTADO_GESTOR";"CO_MUNICIPIO_GESTOR";"TO_CHAR(DT_ATUALIZACAO,'DD/MM/YYYY')";"CO_USUARIO";"CO_CPFDIRETORCLN";"REG_DIRETORCLN";"ST_ADESAO_FILANTROP";"CO_MOTIVO_DESAB";"NO_URL";"NU_LATITUDE";"NU_LONGITUDE";"TO_CHAR(DT_ATU_GEO,'DD/MM/YYYY')";"NO_USUARIO_GEO";"CO_NATUREZA_JUR";"TP_ESTAB_SEMPRE_ABERTO";"ST_GERACREDITO_GERENTE_SGIF";"ST_CONEXAO_INTERNET";"CO_TIPO_UNIDADE";"NO_FANTASIA_ABREV";"TP_GESTAO";"TO_CHAR(DT_ATUALIZACAO_ORIGEM,'DD/MM/YYYY')";"CO_TIPO_ESTABELECIMENTO";"CO_ATIVIDADE_PRINCIPAL";"ST_CONTRATO_FORMALIZADO"
"AL0000270550000000000000015318";"2010453";"12332953000136";"3";"3";"PREFEITURA MUNICIPAL DE MURICI";"CONSULTORIO ODONTOLOGICO";"AVENIDA PRESIDENTE VARGAS";"S/N";"";"CAMPO GRANDE";"57820000";"005";"";"";"";"(82)2861368";"(82)2861368";"smsmuricifejal@.com.br";"";"";"04";"02";"07/2001";"18-jun-2001 00:00:00";"2 ";"";"";"22";"03";"27";"270550";"30/07/2003";"luiz carlos";"";"";"";"08";"";"";"";"";"";"1000";"";"";"";"";"";"M";"09/08/2003";"";"";""
"MA00002101251000000000000011273";"2306611";"";"3";"3";"PREFEITURA MUN DE BACABEIRA";"POSTO DE SAUDE GESTRUDES LEOPOLDINA DECA";"AV PRINCIPAL";"S/N";"";"POV JOSE PEDRO";"65103000";"02";"";"";"";"(98)3451755";"";"";"";"";"04";"01";"";"";"";"";"";"01";"03";"21";"210125";"13/09/2001";"elida";"";"";"";"08";"";"";"";"";"";"1000";"";"";"";"";"";"M";"30/10/2001";"";"";""
"MA0000210120000001862880000178";"2460025";"06014351000138";"3";"3";"PREFEITURA MUNICIPAL DE BACABAL";"SERVICO VIGILANCIA SANITARIA";"RUA FILOMENO PARGA";"S/N";"";"CENTRO";"65700000";"17";"";"";"";"(98)6211881";"(98) 6215820";"";"";"01862880000178";"04";"03";"";"";"";"";"";"50";"03";"21";"210120";"19/09/2001";"custodia";"";"";"";"08";"";"";"";"";"";"1000";"";"";"";"";"";"M";"16/08/2005";"";"";""
"MG00030000000000000000000059447";"2098415";"18094797000107";"3";"3";"PREFEITURA MUNICIPAL DE CARANDAI";"AMBULATORIO MUNICIPAL DE CARANDAI";"RUA CLOVIS TEIXEIRA DE CARVALHO";"250";"";"CENTRO";"36280000";"003";"000";"000";"000";"(32)33611481";"(32)33611481";"";"";"";"04";"01";"";"";"1 ";"";"";"04";"06";"31";"311320";"11/08/2001";"bpupo";"";"";"";"08";"";"";"";"";"";"1000";"";"";"";"";"";"M";"30/10/2001";"";"";""
"ES00000000000000000000000008044";"2546841";"27165554000367";"3";"3";"PREFEITURA MUNICIPAL DE VILA VELHA";"POSTO DE SAUDE DO IBES";"PRACA ASSIS CHATEAU BRIAN";"S/N";"";"IBES";"29108630";"0001";"";"";"";"(27)33222901";"";"saude v v @ bol.com.br";"";"";"04";"01";"";"";"";"";"";"01";"03";"32";"320520";"06/03/2002";"penha";"";"";"";"08";"";"";"";"";"";"1000";"";"";"";"";"";"M";"21/03/2002";"";"";""
"MA00000000000000000000000004715";"2464020";"06209936000103";"3";"3";"PREFEITURA MUNICIPAL DE PALMEIRANDIA";"PORAO DO JANUARIO MELO";"POVOADO PORAO DO JANUARIO MELO";"S/N";"";"CENTRO";"65238000";"7";"";"";"";"(98)3871133";"";"";"";"";"04";"01";"";"";"";"";"";"01";"03";"21";"210760";"24/10/2001";"teste";"";"";"";"08";"";"";"";"";"";"1000";"";"";"";"";"";"M";"01/01/9000";"";"";""
"MA00000000000000000000000013668";"2464047";"06209936000103";"3";"3";"PREFEITURA MUNICIPAL DE PALMEIRANDIA";"POSTO DE SAUDE DE CRUZEIROS";"POVOADO CRUZEIROS";"S/N";"";"CENTRO";"65238000";"7";"";"";"";"(98)3871133";"";"";"";"";"04";"01";"";"";"";"";"";"01";"03";"21";"210760";"24/10/2001";"teste";"";"";"";"08";"";"";"";"";"";"1000";"";"";"";"";"";"M";"01/01/9000";"";"";""
"MA00000000000000000000000012505";"2465019";"01612342000125";"3";"3";"PREFEITURA MUNICIPAL DE CENTRAL MA";"POSTO DE SAUDE MONTE CARMO";"POV MONTE CARMO";"S/N";"";"MONTE CARMO";"65267000";"6";"";"";"";"";"";"";"";"";"04";"01";"";"";"";"";"";"01";"03";"21";"210312";"29/09/2001";"teste";"";"";"";"08";"";"";"";"";"";"1000";"";"";"";"";"";"M";"01/01/9000";"";"";""
"MA00000000000000006096218000178";"2452723";"";"3";"1";"PREFEITURA MUNICIPAL DE BENEDITO LEITE";"CENTRO DE SAUDE DEPUTADO LUIS COELHO";"PRACA JOSE SARNEY";"S/N";"";"CENTRO";"65885000";"013";"";"";"";"(98) 544 145";"";"";"";"06096218000178";"04";"01";"";"";"";"";"";"02";"03";"21";"210180";"17/09/2001";"hermes";"";"";"";"08";"";"";"";"";"";"1000";"";"";"";"";"";"M";"01/01/9000";"";"";""
"MA00000000000000000000000011290";"2453258";"01614537000104";"3";"3";"PREFEITURA MUNICIPAL DE ITINGA DO MARANHAO";"POSTO DE SAUDE DE CAJUAPARA";"POVOADO CAJUAPARA";"S/N";"";"POVOADO CAJUAPARA";"65939000";"0010";"";"";"";"(98)98531412";"";"";"";"";"04";"";"";"";"";"";"";"01";"03";"21";"210542";"05/11/2001";"geildo";"";"";"";"08";"";"";"";"";"";"1000";"";"";"";"";"";"M";"01/01/9000";"";"";""
"MA00002109809000000000000012963";"2454165";"06226583000150";"3";"3";"PREFEITURA DE SANTA HELENA";"PS DE ARMINDIO";"POVOADO ARMINDIO";"S/N";"";"ARMINDIO";"65208000";"06";"";"";"";"(98)3821266";"(98)3821259";"";"";"";"04";"01";"020";"19-jul-2001 00:00:00";"2 ";"";"";"01";"03";"21";"210980";"23/08/2001";"junior";"";"";"";"08";"";"";"";"";"";"1000";"";"";"";"";"";"M";"05/11/2003";"";"";""
"MA00000000000000000000000113948";"2461145";"06101117000148";"3";"3";"PREFEITURA MUNICIPAL GOVERNADOR EUGENIO BARROS";"DEPARTAMENTO DE VIGILANCIA SANITARIA E CONTROLE DE ZOONOSE";"RUA 12 DE OUTUBRO";"S/N";"";"CENTRO";"65780000";"14";"";"";"";"(98)5641207";"";"";"";"";"04";"01";"";"";"";"";"";"50";"03";"21";"210460";"25/09/2001";"teste";"";"";"";"08";"";"";"";"";"";"1000";"";"";"";"";"";"M";"16/08/2005";"";"";""
